,Album,Year,Song Title,Rhyme Count
0,"""Backstreet Boys""",1995,I Wanna Be With You,14
1,"""Backstreet's Back""",1997,If I Don't Have You,14
2,"""DNA""",2019,No Place,12
3,"""Millennium""",1999,I Want It That Way,10
4,"""Millennium""",1999,I Want It That Way,10
5,"""Never Gone""",2005,Never Gone,10
6,"""Black & Blue""",2000,Shining Star,9
7,"""Unbreakable""",2007,You Can Let Go,9
8,"""In A World Like This""",2013,Make Believe,9
9,"""Backstreet Boys""",1995,Nobody But You,8
10,"""Black & Blue""",2000,"Yes, I Will",8
11,"""Backstreet Boys""",1995,Anywhere For You,7
12,"""Backstreet Boys""",1995,Quit Playin' Games (With My Heart),7
13,"""Backstreet Boys""",1995,Quit Playin' Games (With My Heart),7
14,"""Millennium""",1999,The One,7
15,"""Black & Blue""",2000,The Answer To Our Life,7
16,"""Black & Blue""",2000,Not For Me,7
17,"""Black & Blue""",2000,How Did I Fall In Love With You?,7
18,"""Unbreakable""",2007,Sick As My Secrets(Unreleased Song),7
19,"""Backstreet Boys""",1995,Just To Be Close To You,6
20,"""Millennium""",1999,Spanish Eyes,6
21,"""Unbreakable""",2007,Evergreen(Unreleased Song),6
22,"""DNA""",2019,Don't Go Breaking My Heart,6
23,"""DNA""",2019,Just Like You Like It,6
24,"""Millennium""",1999,Back To Your Heart,5
25,"""Never Gone""",2005,Lose It All,5
26,"""Never Gone""",2005,Rush Over Me(Bonus Track),5
27,"""Unbreakable""",2007,Love Will Keep You Up All Night,5
28,"""Black & Blue""",2000,The Call,4
29,"""Black & Blue""",2000,I Promise You (With Everything I Am),4
30,"""Never Gone""",2005,Just Want You To Know,4
31,"""Never Gone""",2005,Safest Place To Hide,4
32,"""Unbreakable""",2007,Something That I Already Know,4
33,"""Unbreakable""",2007,Treat Me Right,4
34,"""Unbreakable""",2007,Unsuspecting Sunday Afternoon,4
35,"""Unbreakable""",2007,Happily Never After(Cut Track),4
36,"""This Is Us""",2009,Bigger,4
37,"""This Is Us""",2009,This Is Us,4
38,"compilation: ""NKOTBSB""",2011,NKOTBSB Mashup,4
39,"""In A World Like This""",2013,Madeleine,4
40,"""In A World Like This""",2013,Feels Like Home,4
41,"""DNA""",2019,Breathe,4
42,"""DNA""",2019,OK,4
43,"""Backstreet's Back""",1997,"10,000 Promises",3
44,"""Millennium""",1999,Show Me The Meaning Of Being Lonely,3
45,"""Black & Blue""",2000,Time,3
46,"""Black & Blue""",2000,What Makes You Different (Makes You Beautiful),3
47,"""Never Gone""",2005,Crawling Back To You,3
48,"""Unbreakable""",2007,Inconsolable,3
49,"""Unbreakable""",2007,There's Us(WalMart Edition Track),3
50,"""This Is Us""",2009,She's A Dream,3
51,"""This Is Us""",2009,Helpless(European bonus track),3
52,"""In A World Like This""",2013,In A World Like This,3
53,"""In A World Like This""",2013,Try,3
54,"""In A World Like This""",2013,One Phone Call,3
55,"""DNA""",2019,Chateau,3
56,"""Backstreet Boys""",1995,Get Down (You're The One For Me),2
57,"""Backstreet Boys""",1995,Everytime I Close My Eyes,2
58,"""Backstreet Boys""",1995,Darlin',2
59,"""Backstreet Boys""",1995,Let's Have A Party,2
60,"""Backstreet's Back""",1997,Everybody (Backstreet's Back),2
61,"""Backstreet's Back""",1997,Like A Child,2
62,"""Backstreet's Back""",1997,"Hey, Mr. DJ (Keep Playin' That Song)",2
63,"""Backstreet's Back""",1997,That's What She Said,2
64,"""Backstreet's Back""",1997,If You Want It To Be Good Girl (Get Yourself A Bad Boy),2
65,"""Backstreet's Back""",1997,Everybody (Backstreet's Back),2
66,"""Millennium""",1999,I Need You Tonight,2
67,"""Millennium""",1999,Don't Want You Back,2
68,"""Millennium""",1999,The Perfect Fan,2
69,"""Black & Blue""",2000,Everyone,2
70,"""Never Gone""",2005,Weird World,2
71,"""Never Gone""",2005,I Still...,2
72,"""Never Gone""",2005,Beautiful Woman,2
73,"""Never Gone""",2005,Last Night You Saved My Life(Bonus Track),2
74,"""This Is Us""",2009,Bye Bye Love,2
75,"""This Is Us""",2009,PDA (Public Display Of Affection),2
76,"""This Is Us""",2009,Masquerade,2
77,"compilation: ""NKOTBSB""",2011,All In My Head,2
78,"""In A World Like This""",2013,Permanent Stain,2
79,"""In A World Like This""",2013,Breathe,2
80,"""In A World Like This""",2013,Trust Me,2
81,"""In A World Like This""",2013,Light On(Japanese Bonus Track),2
82,"""DNA""",2019,Do You Remember(Japanese Bonus Track),2
83,"""Backstreet Boys""",1995,I'll Never Break Your Heart,1
84,"""Backstreet's Back""",1997,As Long As You Love Me,1
85,"""Backstreet's Back""",1997,All I Have To Give,1
86,"""Backstreet's Back""",1997,That's The Way I Like It,1
87,"""Millennium""",1999,Larger Than Life,1
88,"""Millennium""",1999,It's Gotta Be You,1
89,"""Millennium""",1999,No One Else Comes Close,1
90,"""Millennium""",1999,Larger Than Life,1
91,"""Black & Blue""",2000,Shape Of My Heart,1
92,"""Black & Blue""",2000,Get Another Boyfriend,1
93,"""Black & Blue""",2000,It's True,1
94,"""Never Gone""",2005,Incomplete,1
95,"""Never Gone""",2005,Climbing The Walls,1
96,"""Never Gone""",2005,Siberia,1
97,"""Unbreakable""",2007,Helpless When She Smiles,1
98,"""This Is Us""",2009,All Of Your Life (You Need Love),1
99,"""This Is Us""",2009,Shattered,1
100,"compilation: ""NKOTBSB""",2011,As Long As You Love Me,1
101,"""In A World Like This""",2013,Love Somebody,1
102,"""In A World Like This""",2013,Take Care(Target Bonus Track),1
103,"""DNA""",2019,Nobody Else,1
104,"""DNA""",2019,Passionate,1
105,"""Backstreet Boys""",1995,We've Got It Goin On,0
106,"""Backstreet Boys""",1995,Boys Will Be Boys,0
107,"""Backstreet Boys""",1995,Roll With It,0
108,"""Backstreet's Back""",1997,Set Adrift On Memory Bliss,0
109,"""Millennium""",1999,Don't Wanna Lose You Now,0
110,"""Black & Blue""",2000,More Than That,0
111,"""Never Gone""",2005,Poster Girl,0
112,"""Never Gone""",2005,Song For The Unloved(Bonus Track),0
113,"""Never Gone""",2005,Movin' On(Bonus Track),0
114,"""Unbreakable""",2007,Intro,0
115,"""Unbreakable""",2007,Everything But Mine,0
116,"""Unbreakable""",2007,Any Other Way,0
117,"""Unbreakable""",2007,One In A Million,0
118,"""Unbreakable""",2007,Panic,0
119,"""Unbreakable""",2007,Trouble Is,0
120,"""Unbreakable""",2007,Unmistakable,0
121,"""Unbreakable""",2007,Downpour(Deluxe Edition),0
122,"""Unbreakable""",2007,In Pieces(Deluxe Edition),0
123,"""Unbreakable""",2007,Nowhere To Go(Japanese Edition Track),0
124,"""Unbreakable""",2007,"Satellite(from ""Helpless When She Smiles"" single)",0
125,"""This Is Us""",2009,Straight Through My Heart,0
126,"""This Is Us""",2009,If I Knew Then,0
127,"""This Is Us""",2009,Undone,0
128,"""This Is Us""",2009,International Luv(Japan bonus track),0
129,"compilation: ""NKOTBSB""",2011,Don't Turn Out The Lights,0
130,"""In A World Like This""",2013,Show 'em (What You're Made Of),0
131,"""In A World Like This""",2013,Soldier,0
132,"""In A World Like This""",2013,"Hot, Hot, Hot(iTunes Bonus Track)",0
133,"""In A World Like This""",2013,In Your Arms(Target Bonus Track),0
134,"""DNA""",2019,New Love,0
135,"""DNA""",2019,Is It Just Me,0
136,"""DNA""",2019,Chances,0
137,"""DNA""",2019,The Way It Was,0
138,"""DNA""",2019,Said I Love You(Japanese Bonus Track),0
139,"""DNA""",2019,Best Days(Japanese Bonus Track),0
